gfem_front_base_x,gfem_front_base_y,gfem_front_base_z,gfem_rear_base_x,gfem_rear_base_y,gfem_rear_base_z,gfem_front_deform_x,gfem_front_deform_y,gfem_front_deform_z,gfem_rear_deform_x,gfem_rear_deform_y,gfem_rear_deform_z,dfem_front_base_x,dfem_front_base_y,dfem_front_base_z,dfem_rear_base_x,dfem_rear_base_y,dfem_rear_base_z,dfem_front_deform_x,dfem_front_deform_y,dfem_front_deform_z,dfem_rear_deform_x,dfem_rear_deform_y,dfem_rear_deform_z
41887.88202,-21449.21901,890.865739,42913.56184,-20846.25638,862.5771706,41882.92814,-21448.45066,892.1377396,42916.419,-20841.52181,859.389349,43321.34659,-23812.0955,1058.18027,44170.64928,-23311.75651,1050.657047,43320.84769,-23810.31179,1077.5729,44170.00354,-23309.16063,1078.1216
41871.65307,-21421.69727,889.219246,42898.72414,-20817.92245,860.9423552,41866.70677,-21420.95667,890.0007299,42901.64783,-20813.166,857.329007,41612.62674,-20905.09299,830.4788733,42606.91093,-20319.38192,822.6881842,41612.72114,-20905.00241,830.137936,42606.87706,-20319.38851,822.515909
41855.42421,-21394.1757,887.5771063,42883.8861,-20789.58783,859.3125333,41850.48538,-21393.46267,887.8640807,42886.8764,-20784.8097,855.27045,42467.03316,-22358.73625,942.8047841,43389.03616,-21815.74443,932.6549909,42466.65548,-22358.00965,948.39132,43388.66242,-21814.66964,940.20182
41839.19535,-21366.65411,885.9392948,42869.0477,-20761.25245,857.6876581,41834.26398,-21365.96864,885.7277932,42872.10494,-20756.45333,853.2132629,42896.72999,-23089.78306,1000.501627,43782.19838,-22568.27492,990.4909381,42896.28458,-23088.52836,1013.0188,43781.61453,-22566.54887,1007.422
41822.96638,-21339.13233,884.3057866,42854.20889,-20732.91625,856.067683,41818.04256,-21338.4746,883.5918707,42857.33344,-20728.09689,851.1571253,43109.02099,-23450.94075,1029.319744,43976.44874,-22940.03114,1020.222797,43108.57117,-23449.36586,1045.3099,43975.77392,-22937.81138,1042.3155
41806.7372,-21311.6102,882.6765565,42839.36963,-20704.57914,854.4525611,41801.82113,-21310.98053,881.4563187,42842.56192,-20699.74041,849.1017971,43002.87653,-23270.37413,1014.899556,43879.32606,-22754.16092,1005.243018,43002.47893,-23268.99654,1029.1692,43878.68526,-22752.23518,1024.7112
41790.5077,-21284.08752,881.0515795,42824.52989,-20676.24106,852.8422458,41785.5997,-21283.48644,879.3211448,42827.79038,-20671.3839,847.0470852,43053.42093,-23356.35922,1021.764499,43925.57593,-22842.67219,1012.350127,43052.97558,-23354.93409,1036.8508,43924.97776,-22840.62908,1033.0603
41774.27767,-21256.56395,879.4308265,42809.68963,-20647.90193,851.2366904,41769.37824,-21255.99233,877.1863587,42813.01883,-20643.02735,844.9928213,43028.14869,-23313.36715,1018.33151,43902.45102,-22798.41704,1008.790144,43027.67735,-23311.96529,1033.0106,43901.78104,-22796.38227,1028.8782
41758.04706,-21229.03939,877.8142893,42794.84882,-20619.56169,849.6358481,41753.15678,-21228.49819,875.0519724,42798.24726,-20614.6708,842.9388445,43038.25756,-23330.56405,1019.704592,43911.70101,-22816.1192,1010.212639,43037.87667,-23329.1528,1034.5448,43911.07961,-22814.06102,1030.5465
41741.81608,-21201.51422,876.2019763,42780.0074,-20591.22027,848.0396723,41736.9353,-21201.00404,872.9180001,42783.4757,-20586.31423,840.8849837,43033.20313,-23321.96563,1019.018032,43907.07602,-22807.26814,1009.501136,43032.77701,-23320.55904,1033.7827,43906.48031,-22805.27164,1029.7122
